GroupId,GroupName,Preference,Id,Product,Amount,Measure,Energie,FatTotal,Protein,CarbsTotal,Sugar,Starch,Fibre,Water,PUFA3,K,CA,P,MG,FE,CU,SE,ZN,IOD,VITA,VITC,VITD,VITE,VITK,VITB6,VITB12,FIBWAT,FIBFAT,FATPROT
7,Gebak en koek,,5051,Voedingsbiscuit melkbiscuit AH/Jumbo/Aldi,100,g,487,20.6,7.9,65.4,24.7,40.7,4.3,1.8,0.7,,455,260,28,6.8,,,,,,0,0.1,0,,1.04,0.55,6.1,24.9,28.5
22,"Suiker, snoep, zoet beleg en zoete sauzen",,1652,Stroop maismout-,100,g,287,0,2.3,69.4,53.8,15.6,0,22.7,0,191,10,,28,0.5,,,0.1,0,0,,0,,,,0,22.7,0,2.3
3,Brood,,596,Knackebrod goudbruin,100,g,410,6.6,12.3,72.3,5.2,67.2,5.8,6,0.1,520,100,330,90,3,0.4,2,2.4,1.9,0,0,0,1,,0.3,0,11.8,12.4,18.9
16,Niet-alcoholische dranken,,2647,Koffie automaat- met suiker en melk,100,g,28,0.7,0.2,5.3,4.3,0.9,0,93.1,0,91,3,13,6,0.2,0.01,0,0.01,0.5,0,0,0,0,,0,0,93.1,0.7,0.9
16,Niet-alcoholische dranken,,2648,Koffie automaat- met melk,100,g,12,0.7,0.2,1.3,0.3,0.9,0,97,0,94,3,13,6,0.2,0.01,0,0.01,0.5,0,0,0,0,,0,0,97,0.7,0.9
22,"Suiker, snoep, zoet beleg en zoete sauzen",,540,Dessertsaus chocolade-,100,g,269,1.9,2.1,60.8,48.3,12.5,0.5,34.8,0,,23,105,73,4.6,,,,,1,0,0,0.4,,,0,35.3,2.4,4
22,"Suiker, snoep, zoet beleg en zoete sauzen",,2373,After eight,100,g,419,12.2,2.1,74.6,72.1,2.5,1,9.2,0,149,64,76,20,1.3,0.11,2,0.43,2.5,21,0,0,0.4,0.9,0.02,0.21,10.2,13.2,14.3
22,"Suiker, snoep, zoet beleg en zoete sauzen",,3358,Schuimpje,100,g,366,0.1,2.1,89.2,76.8,12.4,0,8.6,0,2,6,10,1,0.2,0.03,,0.07,1,0,0,0,0,,0,0,8.6,0.1,2.2
3,Brood,,1779,Knackebrod volkoren,100,g,363,4,10.9,64,3.1,60.9,13.7,6,0.1,400,40,250,80,3,0.4,2,2.5,1.9,0,0,0,0.5,,0.26,0,19.7,17.7,14.9
22,"Suiker, snoep, zoet beleg en zoete sauzen",,3245,Muisjes gestampte/roze&witte/blauwe&witte,100,g,402,2.4,2,92,79,13,2.2,1.4,0,219,97,66,27,5.6,0.15,1,0.8,0,0,3,0,0,,0.1,0,3.6,4.6,4.4
